,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,n_words,vader_sentiment,rel_char_len
34913,27681497,Private top-floor in historic Brooklyn Brownstone,38956453,Paula And Jorge,Brooklyn,Bedford-Stuyvesant,40.6844,-73.9358,Entire home/apt,125,2,51,2019-07-01,5.03,1,89,6,0.0,0.98
21960,17667639,Your 1 bedroom home away from home!,43907907,Elle,Manhattan,Upper West Side,40.79563,-73.97634,Entire home/apt,215,3,38,2019-06-10,1.4,1,31,8,0.0,0.7
35170,27903031,Prewar Gem in Middle of Everything!,7580102,(Email hidden by Airbnb),Manhattan,Midtown,40.76399,-73.98077,Private room,139,3,3,2018-11-17,0.31,2,0,7,0.0,0.7
40484,31382878,Private Studio apartment in the west village,226960918,Pamela,Manhattan,Chelsea,40.73934,-74.00146,Entire home/apt,180,3,2,2019-06-21,2.0,1,173,7,0.0,0.88
41840,32529302,Manhattan apartment | Perfect SOHO location,76484622,Felix,Manhattan,Greenwich Village,40.72824,-74.00259,Entire home/apt,215,4,2,2019-06-22,0.53,1,148,6,0.5719,0.86
1845,820953,Entire Apt Yours! (5 Night Minimum),4105474,Amanda,Brooklyn,Greenpoint,40.72166,-73.94037,Entire home/apt,99,7,10,2019-01-01,0.13,1,81,9,0.0,0.7
5368,3875294,Beautiful Brooklyn Bedroom!,20022909,Jessica,Brooklyn,Crown Heights,40.6749,-73.95166,Private room,50,1,5,2016-09-25,0.09,1,0,4,0.636,0.54
41035,31904037,"Bright, Clean and Modern Williamsburg Studio",10914119,Jules,Brooklyn,Williamsburg,40.71747,-73.96142,Entire home/apt,190,4,4,2019-05-31,1.05,1,187,7,0.6808,0.88
26098,20815900,Huge One of A Kind Loft West Village/Meatpacking,6433797,Marlon,Manhattan,Chelsea,40.74039,-74.00029,Private room,89,2,1,2017-09-14,0.05,1,0,8,0.6908,0.96
15515,12451425,amazing studio in heart of Manhatta,60996330,Nassim,Manhattan,Murray Hill,40.74893,-73.97037,Entire home/apt,175,1,3,2017-04-19,0.09,1,0,6,0.5859,0.7
30446,23559016,Lovely room in heart of Williamsburg,173021064,Katie,Brooklyn,Williamsburg,40.71081,-73.94965,Private room,75,2,2,2018-04-22,0.13,2,7,6,0.5859,0.72
20913,16558246,Cozy studio Upper East/Manhattan,109036773,Mila,Manhattan,Upper East Side,40.76794,-73.95712,Entire home/apt,220,8,15,2019-06-14,0.52,1,14,4,0.0,0.64
43923,33944634,"Centrally Located 2 Bedroom, 1 Bath",243226371,Robert,Manhattan,East Village,40.72391,-73.98409,Entire home/apt,700,2,8,2019-06-02,3.08,1,263,7,0.0,0.7
17803,13959556,Comfy Accommodations in Queens NY (JFK - 8 Mins),74331597,Nickesha,Queens,St. Albans,40.68482,-73.76929,Private room,55,5,28,2019-06-15,0.81,5,365,11,0.0,0.96
18722,14823077,Amazing Private Bedroom on UES of New York City,20707006,Tianna,Manhattan,East Harlem,40.78962,-73.94837,Private room,100,4,1,2017-01-03,0.03,1,0,9,0.5859,0.94
47564,35804219,Cozy room available in Brooklyn for July,35616021,Begum,Brooklyn,Bedford-Stuyvesant,40.68477,-73.9509,Private room,40,2,1,2019-06-29,1.0,1,1,7,0.0,0.8
37817,29943391,Cozy tiny bedroom w/large living-room & kitchen.,221940893,Sara,Brooklyn,Kensington,40.6359,-73.97105,Private room,34,2,24,2019-06-25,3.16,3,204,8,0.0,0.96
6812,4868571,Beautiful & Cozy true 2 Bedroom in SoHo/Nolita,25043292,Vane,Manhattan,Nolita,40.72011,-73.99465,Entire home/apt,150,3,2,2019-01-02,0.08,2,0,8,0.7717,0.92
14770,11675341,1 bdrm Spacious Beautiful Apartment,62001039,Liz,Queens,Forest Hills,40.72227,-73.84173,Entire home/apt,120,2,4,2016-06-05,0.1,1,0,5,0.5994,0.7
406,133025,Midtown cozy convenient,653405,Tracy,Manhattan,Murray Hill,40.7463,-73.97926,Private room,130,4,105,2019-06-06,1.07,1,193,3,0.0,0.46
18726,14824875,Beautiful two bedroom apartment with backyard,68082479,Sunshine,Brooklyn,East New York,40.6735,-73.89635,Entire home/apt,135,30,108,2019-06-20,3.12,2,206,6,0.5994,0.9
1066,449034,Spacious Loft 5 min to Union Square,124357,Alex,Brooklyn,Williamsburg,40.71756,-73.95282,Private room,90,1,155,2019-06-07,1.78,3,328,7,0.0,0.7
16444,13199140,luxury Upper East Side 1 BR,73924316,Rachael,Manhattan,Upper East Side,40.77575,-73.95304,Entire home/apt,165,16,1,2016-07-24,0.03,1,0,6,0.0,0.54
6824,4879911,"Sunny, spacious bedroom with a view",1473630,Hillela,Brooklyn,Gowanus,40.68234,-73.98168,Private room,100,1,2,2015-04-25,0.04,1,0,7,0.4215,0.7
15916,12868264,Brownstone apartment in Bed Stuy,26295451,Jessica,Brooklyn,Bedford-Stuyvesant,40.68743,-73.93045,Private room,150,1,14,2017-05-21,0.4,1,0,5,0.0,0.64
33943,26877259,*Times Square Luxury Apartment Private Room*,172864847,Jae,Manhattan,Theater District,40.75964,-73.98731,Private room,100,1,137,2019-07-07,12.05,1,36,8,0.0,0.88
26694,21212937,EAST 60TH STREET STUDIO WITH 2 DOUBLE BEDS,76104209,Rated,Manhattan,Upper East Side,40.76114,-73.961,Entire home/apt,153,30,1,2017-10-30,0.05,33,365,8,0.0,0.84
38341,30199622,Near Subway and Central Park :),226839517,Tamara,Manhattan,Midtown,40.75714,-73.96748,Private room,90,1,42,2019-06-23,5.68,1,45,7,0.4588,0.62
14281,11089123,Awesome bedroom in 2br apartment <3,15231059,Apollo,Manhattan,Lower East Side,40.72118,-73.98875,Private room,100,3,19,2019-04-30,0.46,4,303,7,0.7906,0.7
27713,21762160,Big Clean well-lit 2br by the subway in WaHi NYC!,3329425,Brad,Manhattan,Washington Heights,40.83734,-73.94506,Entire home/apt,120,2,1,2018-05-13,0.07,1,210,11,0.4574,0.98
29232,22435399,Room,140494157,Nayely,Queens,Astoria,40.76895,-73.92489,Private room,110,1,1,2018-01-01,0.05,1,0,1,0.0,0.08
70,16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,2019-06-23,1.64,1,215,6,0.4404,0.62
26653,21191462,Charming and very Sunny Apartment,46208887,Lu&Ben,Brooklyn,Crown Heights,40.67541,-73.96061,Entire home/apt,70,7,2,2018-05-13,0.11,1,0,5,0.7841,0.66
24152,19456810,Hillside Hotel,134184451,Hillside Hotel,Queens,Briarwood,40.70454,-73.81549,Private room,93,1,2,2017-07-23,0.08,18,90,2,0.0,0.28
11306,8775910,AMAZING UNIQUE COZY MANHATTAN APT,46004430,Michael,Manhattan,Kips Bay,40.74433,-73.97769,Private room,125,2,10,2018-10-22,0.22,1,256,5,0.5859,0.66
1526,690849,East Village Artist's Studio,284224,Daniel,Manhattan,East Village,40.72912,-73.98355,Entire home/apt,95,3,39,2019-06-18,0.47,1,15,5,0.0,0.56
16429,13187991,Cheap West Village Apartment,73792588,Peter,Manhattan,West Village,40.73011,-74.00267,Private room,55,1,7,2016-06-28,0.19,1,0,4,0.0,0.56
22213,17893069,Spacious 1-Bedroom Apartment in Greenwich Village,10838291,Brian,Manhattan,Greenwich Village,40.73307,-73.99277,Entire home/apt,250,7,1,2017-05-13,0.04,1,0,6,0.0,0.98
22645,18325063,Prvt entrance room! 1 stop to Mdtwn Manhattan.,20017962,John,Queens,Long Island City,40.74399,-73.95472,Private room,72,3,11,2019-05-30,0.42,1,341,10,-0.3595,0.92
31799,24806098,"WHOLE APARTMENT, 15 MINUTES TO MANHATTAN",75981937,Cem,Queens,Astoria,40.76197,-73.92335,Entire home/apt,140,15,2,2019-01-03,0.18,2,71,7,0.0,0.8
30235,23344293,Cozy 2,156505456,John,Brooklyn,East New York,40.66122,-73.88672,Private room,52,3,23,2019-05-27,1.37,13,90,2,0.0,0.12
12704,9735931,Private room in spacious apartment,6501582,Gaia,Brooklyn,Crown Heights,40.67693,-73.93234,Private room,50,7,11,2019-05-12,0.26,1,0,5,0.0,0.68
35889,28500619,Brooklyn Tree House,215127571,Anthony,Brooklyn,Williamsburg,40.71859,-73.95202,Entire home/apt,400,3,25,2019-07-05,2.62,1,30,3,0.0,0.38
39227,30584721,Gorgeous GOOD VIBES One Bedroom in Greenpoint,5221013,Mario,Brooklyn,Greenpoint,40.7205,-73.94717,Entire home/apt,80,3,2,2019-05-25,0.47,1,3,7,0.824,0.9
21862,17568601,Huge Sunny Room in Prime Brooklyn Flushing Ave JM,14759473,Edith,Brooklyn,Bedford-Stuyvesant,40.7002,-73.94327,Private room,55,1,25,2019-05-19,0.88,1,0,9,0.6249,0.98
44943,34482823,apartment for 6ppl in SOHO,260186993,Me,Manhattan,Lower East Side,40.71955,-73.99115,Entire home/apt,243,2,1,2019-06-24,1.0,1,97,5,0.0,0.52
815,289958,2 Rooms in Cottage NYC,1454655,Ronaldo,Queens,Long Island City,40.75295,-73.93228,Private room,65,2,5,2014-09-09,0.06,1,362,5,0.0,0.44
29902,23019746,Exposed brick Loft apartment,168988812,Giulia,Queens,Ridgewood,40.70068,-73.91008,Entire home/apt,118,6,2,2019-01-02,0.13,1,0,4,-0.0772,0.56
2041,910976,Gorgeous PermaGO HOMES™ - FiDi - Room 2/2,4887492,Gershwyn,Manhattan,Financial District,40.71078,-74.00995,Private room,160,3,24,2018-02-12,0.31,2,352,8,0.6124,0.82
26570,21141576,"Brand new, comfortable, refined, our first!全新,商务最佳",152530167,Luxi,Queens,Flushing,40.76407,-73.82518,Entire home/apt,148,1,24,2019-06-06,1.15,1,77,13,0.5562,1.0
27495,21656310,"Room available on the Upper East Side, Manhattan",18844442,Rabia,Manhattan,Upper East Side,40.77976,-73.95409,Private room,100,2,16,2018-02-20,0.8,1,0,9,0.0,0.96
38932,30442257,"Luxury Building 15 mins from LES
Manhattan",40204585,Olivia,Brooklyn,Bushwick,40.70026,-73.93582,Entire home/apt,180,1,3,2019-04-09,0.47,1,0,7,0.0,0.84
2874,1644133,Large Spacious Apt For Sublet,8726014,ELouise,Brooklyn,East Flatbush,40.63205,-73.94587,Entire home/apt,90,1,5,2019-05-03,0.08,1,361,5,0.0,0.58
1107,470370,PRIVATE ROOM NEW YORK,2120259,Sue,Brooklyn,Crown Heights,40.66604,-73.95086,Private room,55,4,101,2019-06-24,1.19,4,170,4,0.0,0.42
8819,6765965,Williamsburg Cozy Apartement,35421272,Joffrey,Brooklyn,Williamsburg,40.71128,-73.954,Entire home/apt,119,4,6,2016-09-26,0.12,1,0,3,0.0,0.56
25962,20730848,Central Park and Museum mile Privarte room 105th.,42783238,Thomas,Manhattan,East Harlem,40.79383,-73.94968,Private room,85,1,98,2018-10-15,4.39,2,0,9,0.0,0.98
12499,9612938,Studio apt in Historic House Museum,49736436,George,Manhattan,Washington Heights,40.83549,-73.93968,Entire home/apt,120,3,10,2019-07-01,0.7,2,244,6,0.0,0.7
1245,531455,Nice one bedroom apartment by the Prospect park,1445298,Gita,Brooklyn,Prospect-Lefferts Gardens,40.66199,-73.96294,Entire home/apt,80,7,23,2019-06-05,0.27,1,20,8,0.6124,0.94
37013,29424138,"*Location, Location* | Chelsea | West Village",60105727,Lee,Manhattan,West Village,40.73531,-74.00303,Entire home/apt,182,30,31,2019-07-06,3.88,2,12,10,0.0,0.9
26036,20775370,"Comfy, cozy, private NYC Studio for One!",2650097,Jennifer,Brooklyn,Sunset Park,40.66273,-73.99384,Entire home/apt,58,4,10,2018-07-31,0.45,1,0,10,0.0,0.8
3040,1788989,Sunny and charming Soho 1 bedroom,7607092,Tanja,Manhattan,Nolita,40.72311,-73.99476,Entire home/apt,225,3,10,2016-09-01,0.15,1,0,6,0.765,0.66
10145,7780335,Sunny studio in Williamsburg,7285322,Allie,Brooklyn,Williamsburg,40.71607,-73.95352,Entire home/apt,150,3,9,2017-12-29,0.2,1,0,4,0.4215,0.56
34628,27467399,Quality accommodation in a prime location!,100704594,Kate,Manhattan,Chelsea,40.74752,-73.9976,Private room,225,3,21,2019-05-21,2.03,1,8,7,0.0,0.84
16045,12972040,BED FOR 1 IN LUXURIOUS PARK AVENUE FLAT,283395,H,Manhattan,Murray Hill,40.74933,-73.97937,Private room,110,1,31,2017-12-10,0.81,2,189,8,0.0,0.78
4748,3354484,Sunny 1 bed home close to Manhattan,4319841,Maria,Brooklyn,Windsor Terrace,40.65181,-73.97648,Entire home/apt,75,5,9,2017-08-10,0.16,1,0,7,0.4215,0.7
7951,6104542,Nice cozy studio apt close to all,19661729,Sopchok,Queens,Jackson Heights,40.74898,-73.88638,Entire home/apt,115,1,51,2019-07-01,1.03,1,78,7,0.4215,0.66
25384,20304654,"Cozy room in the middle of LES, SoHo",7225691,Jérôme,Manhattan,Lower East Side,40.72268,-73.9893,Private room,115,1,179,2019-06-30,7.76,2,326,9,0.0,0.72
47845,35945025,"LGBTQIA+ friendly 2 br in queer, artsy Bushwick",13750109,Michael,Brooklyn,Bushwick,40.70281,-73.93188,Entire home/apt,249,2,1,2019-07-01,1.0,1,17,9,0.4939,0.94
38500,30294144,It's a Stunning Day in Bed-Stuy!,19536596,Andrew,Brooklyn,Crown Heights,40.67612,-73.90813,Private room,48,1,21,2019-07-04,3.04,5,252,8,0.4389,0.64
46054,35044981,Home away from Home (2 Bedroom Apartment),263999712,Juan,Manhattan,Kips Bay,40.74392,-73.97741,Entire home/apt,181,1,2,2019-06-23,2.0,1,167,9,0.0,0.82
17245,13642019,"Historic, Lovely, Modern, Peaceful Apt in Brooklyn",14607718,Ella,Brooklyn,Greenpoint,40.73005,-73.95807,Entire home/apt,200,2,58,2019-05-19,1.71,1,257,10,0.7906,1.0
24694,19836734,Sunlit giant apt in the privileged Upper East,4380358,C Lum,Manhattan,Upper East Side,40.78072,-73.94726,Private room,135,4,5,2019-05-31,0.22,1,95,8,0.4404,0.9
20002,16011595,Top Floor Views Great Apartment in Williamsburg,24404906,Tony,Brooklyn,Williamsburg,40.70969,-73.95252,Entire home/apt,120,5,1,2019-01-03,0.16,1,0,7,0.7096,0.94
19579,15663586,Hudson Yards-Chelsea  ️,101131690,Alberto,Manhattan,Hell's Kitchen,40.75751,-73.99401,Entire home/apt,175,1,22,2019-07-02,1.04,1,12,3,0.0,0.46
9318,7116864,Central Park 1BR Apt NYC Manhattan,20515254,Gill,Manhattan,Upper West Side,40.76812,-73.98341,Entire home/apt,99,3,99,2019-06-23,2.08,1,45,6,0.0,0.68
30782,23826739,Lovely  Room!,34404232,Holly,Queens,Astoria,40.76143,-73.92122,Private room,60,1,24,2018-08-19,1.5,1,0,3,0.6239,0.26
14666,11587722,Central Park Dreams,5099080,Bridget,Manhattan,Upper West Side,40.79795,-73.96156,Entire home/apt,299,4,7,2017-09-15,0.19,1,0,3,0.4019,0.38
39538,30789463,Modern Cozy 2 Bedroom Apt on UES -Near subways!,93822547,Laura,Manhattan,Upper East Side,40.77515,-73.95173,Entire home/apt,185,2,3,2019-05-26,1.11,1,0,10,0.0,0.94
35409,28089652,Boho-Chic sleeps 4 TOP FLOOR penthouse prime WBURG,23156390,Emily,Brooklyn,Williamsburg,40.71227,-73.957,Entire home/apt,122,30,5,2019-07-02,0.76,1,152,8,0.368,1.0
27232,21516443,Cozy bedroom in Williamsburg apartment home!,112966930,Kayla,Brooklyn,Williamsburg,40.71218,-73.96268,Private room,60,2,2,2017-11-08,0.1,1,0,7,0.0,0.88
13813,10413474,Beautiful 2 bed Artists Loft - Williamsburg,53627366,Nick,Brooklyn,Williamsburg,40.71156,-73.96343,Entire home/apt,319,3,75,2019-06-25,1.84,1,112,7,0.5994,0.86
35879,28489062,Cozy 2 Bedroom by the Park !,20104851,Scott,Brooklyn,South Slope,40.66595,-73.97973,Entire home/apt,195,4,22,2019-06-25,3.01,1,67,7,0.0,0.56
14766,11673282,LUX Doorman Gym ! 2 Bedroom5179,16098958,Jeremy & Laura,Manhattan,Upper East Side,40.77688,-73.95505,Entire home/apt,250,30,1,2017-04-05,0.04,96,333,6,0.0,0.62
25795,20639792,Contemporary bedroom in brownstone with nice view,86327101,Adeyemi,Brooklyn,Bedford-Stuyvesant,40.68279,-73.9117,Private room,0,1,95,2019-06-21,4.37,6,232,7,0.4215,0.98
48,13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,2017-01-01,0.1,1,0,4,0.4404,0.5
8443,6481924,"Brooklyn, Sundrenched & Peaceful",1862576,Gan,Brooklyn,Sunset Park,40.65168,-74.00178,Entire home/apt,105,7,3,2016-01-06,0.06,1,0,5,0.4939,0.64
14878,11801942,"Cozy, Clean and Minimal Design in Park Slope",62852022,Stine And Andrew,Brooklyn,South Slope,40.66485,-73.98822,Entire home/apt,200,2,9,2019-05-31,0.24,1,0,9,0.4019,0.88
38950,30444675,Lovely Apartment in Upper West,209943977,Carolina,Manhattan,Upper West Side,40.80155,-73.96498,Entire home/apt,120,2,4,2019-05-16,0.61,1,0,5,0.5859,0.6
35529,28204876,Private modern studio suite with private bathroom,118410907,Sophia,Brooklyn,Bensonhurst,40.60644,-73.99135,Entire home/apt,88,1,39,2019-07-03,3.77,1,362,7,0.0,0.98
17905,14027110,"Awesome 1 BR in multi-cultural Queens, sleeps 4!",18873232,Laura,Queens,Elmhurst,40.73319,-73.87782,Entire home/apt,150,3,7,2017-01-07,0.2,1,261,10,0.6588,0.96
15145,12090887,Private bedroom 5 mins to ColumbiaU,18370504,Emily,Manhattan,Morningside Heights,40.8131,-73.96074,Private room,65,2,5,2016-08-29,0.13,1,0,6,0.0,0.7
24194,19490059,"Newly Renovated; 2BR, 1BA, Kitchen + Living Rm",136812761,Wendy,Brooklyn,Bedford-Stuyvesant,40.69487,-73.93665,Entire home/apt,389,1,107,2019-06-23,4.4,3,80,11,0.0,0.92
2205,1030780,NYC Brooklyn Sunset Park- Great Bed. Great House.,1113080,Audrey,Brooklyn,Sunset Park,40.64871,-74.00774,Private room,70,2,45,2018-01-01,0.6,3,0,10,0.8481,0.98
11884,9250374,Entire home-- Brownstone Brooklyn,733282,Tabitha,Brooklyn,Carroll Gardens,40.68152,-73.99518,Entire home/apt,250,28,4,2018-07-21,0.09,1,0,5,0.0,0.66
3455,2071464,Brooklyn garden 2 bedroom,3011547,Wendy,Brooklyn,Boerum Hill,40.6863,-73.98572,Entire home/apt,400,5,34,2019-06-22,0.5,3,333,4,0.0,0.5
455,160609,LOCATION LOCATION LOCATION UWS 60's,769247,Ligia,Manhattan,Upper West Side,40.77724,-73.98109,Entire home/apt,200,3,10,2019-01-01,0.12,1,0,6,0.0,0.7
9080,6965441,1 Bedroom on Tree Lined Street in Chelsea,19228782,Ben,Manhattan,Chelsea,40.74438,-74.00178,Entire home/apt,150,3,2,2016-06-14,0.05,1,1,8,0.0,0.82
6657,4794322,True one bedroom,24704747,Eli,Manhattan,Upper East Side,40.77378,-73.95684,Entire home/apt,200,1,3,2016-03-27,0.07,1,0,3,0.4215,0.32
31410,24413589,Peaceful place 10min. from Center of New York City,72872297,Zamira,Queens,Long Island City,40.75558,-73.93643,Private room,75,2,67,2019-07-01,4.93,1,11,10,0.4939,1.0
31607,24627128,Little Secret,186111724,Thomas,Manhattan,Upper West Side,40.77705,-73.98118,Private room,112,2,81,2019-07-07,5.63,1,6,2,0.0,0.26
1040,433414,Spacious & Sunny in Prime Brooklyn,287733,David,Brooklyn,Clinton Hill,40.68472,-73.96691,Entire home/apt,150,20,89,2019-06-28,1.04,1,247,6,0.4215,0.68
19515,15591309,172 Henry St - Sunny & Big Room (5th Floor),8962305,Cici,Manhattan,Lower East Side,40.71214,-73.98955,Private room,90,5,10,2018-10-22,0.3,3,20,12,0.4215,0.86
27467,21642995,Lofted Bed in Queer Co-Living Space for Men,34614054,Marco,Brooklyn,Greenpoint,40.72483,-73.9437,Shared room,38,1,32,2019-06-16,1.6,5,346,8,0.0,0.86
22504,18198439,BRIGHT SHABBY CHIC FLOOR THRU,7380428,Mel,Manhattan,Harlem,40.81447,-73.94721,Entire home/apt,165,7,35,2019-07-01,1.39,3,269,5,0.6124,0.58
6813,4869988,Private Room - 2 blocks from Central Park,1509237,Leandro,Manhattan,East Harlem,40.7951,-73.94716,Private room,105,2,88,2019-05-27,2.03,2,266,8,-0.2263,0.82
26414,21027809,Sunny 2 br apartment in Prospect Lefferts Gardens,9138141,Lory And Cindy,Brooklyn,Prospect-Lefferts Gardens,40.65894,-73.95262,Entire home/apt,100,1,85,2019-07-07,8.95,1,125,8,0.6124,0.98
1056,442636,"Private,Affordable, 20 min to NYC!",1655939,Joris,Queens,Ridgewood,40.70054,-73.90255,Entire home/apt,77,3,289,2019-06-24,3.3,1,85,9,0.0,0.68
21900,17606850,Spacious 2 BR Bedford Stuyvesant Bklyn NY,119669258,Alvin,Brooklyn,Bedford-Stuyvesant,40.68932,-73.94098,Entire home/apt,200,2,77,2019-06-24,2.97,1,88,7,0.0,0.82
18337,14385616,PRIME Williamsburg MODERN studio in doorman bldg!!,176332,Lauren,Brooklyn,Williamsburg,40.72207,-73.95697,Entire home/apt,150,4,10,2018-09-26,0.29,1,6,9,0.0,1.0
2337,1133296,Entire home/apt in Chelsea New York,6216882,Raquel,Manhattan,Chelsea,40.74119,-74.00234,Entire home/apt,175,3,19,2019-06-24,0.25,1,194,6,0.0,0.7
45471,34777979,"The Red Brick Abode, in the heart of Williamsburg",15010925,Carlos,Brooklyn,Williamsburg,40.71317,-73.96066,Entire home/apt,160,1,13,2019-07-01,7.96,1,120,10,0.0,0.98
8358,6425712,Roomy and quiet 2BR in Manhattan!,16598550,Candace,Manhattan,Washington Heights,40.85516,-73.9378,Entire home/apt,200,1,2,2015-06-27,0.04,1,0,7,0.0,0.66
15205,12153428,Comfy KING bed in modern NYC apt,65258815,Mrs. Alabi,Brooklyn,Crown Heights,40.67409,-73.92607,Private room,60,2,129,2019-06-26,3.32,2,39,7,0.0,0.64
29746,22862793,A Zen Oasis in the East Village,102841376,Viramo,Manhattan,East Village,40.72509,-73.98954,Private room,139,4,3,2018-07-31,0.17,1,0,7,0.0,0.62
21701,17437772,Private room in Harlem,200243,Laetitia,Manhattan,Harlem,40.8255,-73.9435,Private room,55,1,8,2019-05-14,0.28,2,293,4,0.0,0.44
21462,17141884,Private room in a Luxury building: Midtown NYC,32383664,Karthik,Manhattan,Midtown,40.75151,-73.97114,Private room,60,30,1,2017-06-05,0.04,1,0,9,0.0,0.92
38967,30453281,☯ Ur Cool & Cozy Chambers ☯,69189948,Ella,Manhattan,Washington Heights,40.84878,-73.93449,Private room,50,1,12,2019-07-02,1.69,3,0,7,0.3182,0.54
36787,29233981,Williamsburg One Bedroom,1713685,Jessica,Brooklyn,Williamsburg,40.71295,-73.9628,Entire home/apt,125,1,11,2019-06-20,1.3,1,39,3,0.0,0.48
13953,10576172,LRG PRVT ROOM IN NYC NEAR METRO & ACTIVITIES,5479882,Nata,Manhattan,Harlem,40.80512,-73.953,Private room,100,2,72,2019-07-02,2.08,1,19,9,0.0,0.88
24601,19779749,Private Room in Sunny South Harlem Apt,1877402,Anna,Manhattan,Harlem,40.8114,-73.95237,Private room,50,1,15,2018-06-07,0.62,2,0,7,0.4215,0.76
4137,2664975,"Cute Studio in Bushwick BK, NYC",12461367,Brittany,Brooklyn,Bushwick,40.69987,-73.92552,Entire home/apt,100,1,104,2019-06-23,1.65,1,334,7,0.4588,0.62
22542,18228187,《2》法拉盛市中心明亮干净的私人房间,123580100,Evelyn,Queens,Flushing,40.76417,-73.83008,Private room,45,1,94,2019-06-17,3.48,2,62,1,0.0,0.36
28870,22266609,Bronx home with rooftop and laundry,29412145,Samantha,Bronx,Port Morris,40.80726,-73.92999,Private room,50,2,4,2018-01-02,0.21,1,0,6,0.0,0.7
18089,14163324,Williamsburg Studio w/ Roof Deck and Gym,15061780,Nikki,Brooklyn,Williamsburg,40.71973,-73.94272,Entire home/apt,100,2,3,2016-11-14,0.09,1,0,7,0.0,0.8
44630,34331925,Entire Flat in Perfect Location (Nolita),2463994,Kiarash,Manhattan,Nolita,40.72223,-73.99544,Entire home/apt,200,1,1,2019-05-14,0.54,1,0,8,0.5719,0.8
16089,13000571,Mid Century Modern Greenwich Village 1 Bedroom,3807299,Jerry,Manhattan,Greenwich Village,40.73418,-73.99338,Entire home/apt,315,3,5,2018-12-31,0.16,1,38,7,0.0,0.92
15033,11989954,Sunny and comfortable Apartment,35253342,Tee,Brooklyn,Fort Hamilton,40.62168,-74.03023,Entire home/apt,121,20,23,2019-04-13,0.6,3,294,4,0.7269,0.62
13555,10136994,Beautiful East Village Apartment,4946655,Jack,Manhattan,East Village,40.72435,-73.98461,Entire home/apt,125,2,6,2016-07-06,0.14,1,0,4,0.5994,0.64
37139,29517691,Beautiful private room in townhouse!,222281153,Jay And Josh,Brooklyn,Bedford-Stuyvesant,40.69712,-73.94732,Private room,52,2,13,2019-04-27,1.72,3,320,6,0.636,0.72
28593,22151798,Apartment in South Bronx,45553025,Jose H.,Bronx,Mott Haven,40.81037,-73.91946,Entire home/apt,65,2,47,2018-11-25,2.52,1,0,4,0.0,0.48
11036,8523742,Uptown Studio With Character,44881523,Russell,Manhattan,Harlem,40.8294,-73.94695,Entire home/apt,99,3,13,2017-08-07,0.28,1,0,4,0.0,0.56
46884,35470543,"Brooklyn - Bushwick/ Pool, Gym, Sauna, Rooftop.",27668092,Aponte & Tat,Brooklyn,Bushwick,40.69339,-73.90647,Private room,60,3,1,2019-06-21,1.0,3,72,11,0.0,0.94
644,245504,One Fabulous Private Room,714200,Baron,Manhattan,Inwood,40.85888,-73.92886,Private room,71,4,229,2019-06-21,2.45,1,26,4,0.5267,0.5
1953,854253,Great Lrg Apt next to Park/Subway,4461145,Cristian,Brooklyn,Flatbush,40.6489,-73.96872,Entire home/apt,60,5,3,2019-04-30,0.06,1,189,6,0.6249,0.66
13841,10454844,Tribeca/Soho Garden Apartment,53327491,Scott,Manhattan,Tribeca,40.71934,-74.00998,Entire home/apt,400,6,40,2019-06-11,1.02,1,105,3,0.0,0.58
39540,30791783,"Sunny, Spacious, Chic Interior Designer Apartment",129328105,Charlie,Manhattan,Upper East Side,40.77423,-73.96561,Entire home/apt,199,2,1,2019-04-29,0.42,1,50,8,0.5994,0.98
26740,21239054,Spacious apartment in historic Cobble Hill,11369083,Parker,Brooklyn,Cobble Hill,40.68611,-73.99877,Entire home/apt,115,2,2,2017-12-16,0.1,1,0,6,0.0,0.84
14548,11461798,Central Park - 2 Cozy Rooms (Max. 7 People),60281397,Lugao,Manhattan,Upper West Side,40.79576,-73.96856,Private room,150,2,21,2019-05-08,0.53,3,333,12,0.0,0.86
15388,12337005,Beautiful Fort Greene Loft,2774967,Gabriel,Brooklyn,Fort Greene,40.6921,-73.97279,Entire home/apt,120,3,25,2019-06-19,0.72,1,0,4,0.5994,0.52
47467,35747359,"Lovely*Bright Place in Brooklyn/ Nearby L, G train",22134437,Grace,Brooklyn,Greenpoint,40.72256,-73.94889,Private room,85,2,2,2019-06-30,2.0,1,103,11,0.0,1.0
41118,31980644,"A beautiful Stay in Brooklyn, Safe Sheepshead Bay.",179661186,Mirjam,Brooklyn,Sheepshead Bay,40.59876,-73.95296,Private room,61,2,3,2019-07-01,1.48,2,0,10,0.7783,1.0
16126,13028533,1 BD Suite W/ Kitchen 550 SQFT Wyn Midtown 45 NYC,57574248,Christine,Manhattan,Midtown,40.75303,-73.97327,Entire home/apt,170,2,9,2017-12-15,0.26,3,0,11,0.0,0.98
4499,3101058,Entire One Bedroom Apartment next to Prospect Park,15767190,Mark,Brooklyn,Flatbush,40.65235,-73.9635,Entire home/apt,109,2,2,2017-06-28,0.08,1,0,8,0.296,1.0
